pos,bezeichnung,unterhalt,code,longitude,latitude,photo_url
140,Hundekottütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,HK+ABF,11.5700552746,48.1227422152,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
141,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5702007852,48.1231723748,https://isar-map.de/assets/img/abfall/gitterbox.jpg
143,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5716642803,48.1237978421,https://isar-map.de/assets/img/abfall/gitterbox.jpg
144,Hundekottütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,HK+ABF,11.5718728114,48.1237429528,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
145,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5724629858,48.1241685553,https://isar-map.de/assets/img/abfall/gitterbox.jpg
146,Mülltütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,MTS+L,11.5742613119,48.1251926811,https://isar-map.de/assets/img/abfall/muelltuetenspender.jpg
147,Container,Landeshauptstadt München - Baureferat - Ingenieurbau,C3,11.5744559812,48.1252606156,https://isar-map.de/assets/img/abfall/container.jpg
148,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5757866537,48.1262518685,https://isar-map.de/assets/img/abfall/gitterbox.jpg
149,Hundekottütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,HK+ABF,11.5760422012,48.1258702313,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
150,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5771632391,48.1265608865,https://isar-map.de/assets/img/abfall/gitterbox.jpg
153,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,GD,11.5777346907,48.1271084664,https://isar-map.de/assets/img/abfall/gitterbox.jpg
155,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5781626049,48.1272813615,https://isar-map.de/assets/img/abfall/gitterbox.jpg
157,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5887693285,48.132921595,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
159,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5883500137,48.1328896071,https://isar-map.de/assets/img/abfall/gitterbox.jpg
161,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5888925588,48.1334395158,https://isar-map.de/assets/img/abfall/gitterbox.jpg
164,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5893669578,48.1349387015,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
165,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5891484893,48.1347713634,https://isar-map.de/assets/img/abfall/gitterbox.jpg
168,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5825593482,48.128110861,https://isar-map.de/assets/img/abfall/gitterbox.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.615704601,48.1669772286,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5427521215,48.0754163208,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5439778172,48.0800590107,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5411883804,48.081834012,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5407387273,48.0845123969,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5462240534,48.0983497306,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5441570834,48.0875708439,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5412214294,48.0862192506,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5402490057,48.0826020377,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5762492425,48.1276522779,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
0,Hundekottütenspender,Landeshauptstadt München - Baureferat - Gartenbau,HK,11.5677497934,48.1231162549,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
